"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.39009,0.59235,8.3469e-09,8.2116e-09,1,0.81,0.81,0,0
0.38951,0.5924,8.4272e-09,9.0463e-09,1,0.8125,0.8125,0,0
0.38892,0.59244,8.3946e-09,9.8217e-09,1,0.815,0.815,0,0
0.38834,0.59249,8.2755e-09,1.0562e-08,1,0.8175,0.8175,0,0
0.38776,0.59254,8.0913e-09,1.1292e-08,1,0.82,0.82,0,0
0.38717,0.59258,7.8616e-09,1.2032e-08,1,0.8225,0.8225,0,0
0.38659,0.59263,7.6004e-09,1.28e-08,1,0.825,0.825,0,0
0.38601,0.59268,7.3169e-09,1.3608e-08,1,0.8275,0.8275,0,0
0.38542,0.59272,7.0187e-09,1.4465e-08,1,0.83,0.83,0,0
0.38484,0.59277,6.7128e-09,1.5375e-08,1,0.8325,0.8325,0,0
0.38426,0.59281,6.4044e-09,1.6339e-08,1,0.835,0.835,0,0
0.38367,0.59285,6.0973e-09,1.7356e-08,1,0.8375,0.8375,0,0
